Date,Open,High,Low,Close,Adj Close,Volume
2018-04-23,12618.070313,12640.160156,12567.219727,12610.769531,12610.769531,3030390000
2018-04-24,12659.929688,12675.929688,12442.929688,12514.000000,12514.000000,3716020000
2018-04-25,12491.429688,12539.589844,12408.780273,12517.860352,12517.860352,3563680000
2018-04-26,12539.650391,12621.160156,12521.849609,12582.900391,12582.900391,3690920000
2018-04-27,12567.669922,12614.889648,12552.969727,12594.019531,12594.019531,3234510000
2018-04-30,12615.349609,12641.929688,12515.360352,12515.360352,12515.360352,3749510000
2018-05-01,12490.240234,12493.070313,12388.950195,12493.019531,12493.019531,3562820000
2018-05-02,12486.110352,12521.650391,12402.280273,12418.059570,12418.059570,4047020000
2018-05-03,12395.469727,12419.700195,12255.849609,12392.500000,12392.500000,3867530000
2018-05-04,12335.410156,12527.929688,12310.900391,12493.349609,12493.349609,3335260000
2018-05-07,12493.349609,12567.700195,12492.839844,12519.750000,12519.750000,3266810000
2018-05-08,12498.160156,12522.349609,12458.250000,12520.240234,12520.240234,3745100000
2018-05-09,12565.230469,12652.110352,12555.179688,12632.490234,12632.490234,3913650000
2018-05-10,12660.230469,12748.570313,12653.809570,12731.639648,12731.639648,3380640000
2018-05-11,12748.910156,12788.750000,12730.589844,12761.820313,12761.820313,2874850000
2018-05-14,12791.889648,12821.540039,12755.459961,12772.030273,12772.030273,2994360000
2018-05-15,12711.879883,12727.290039,12668.750000,12704.629883,12704.629883,3291190000
2018-05-16,12710.629883,12764.549805,12706.740234,12743.799805,12743.799805,3248480000
2018-05-17,12741.540039,12787.120117,12714.110352,12747.830078,12747.830078,3478150000
2018-05-18,12735.110352,12740.269531,12700.530273,12717.419922,12717.419922,3383270000
2018-05-21,12771.570313,12814.700195,12771.570313,12804.009766,12804.009766,3053480000
2018-05-22,12832.169922,12853.330078,12760.089844,12766.650391,12766.650391,3384140000
2018-05-23,12701.580078,12743.419922,12670.070313,12743.400391,12743.400391,3333160000
2018-05-24,12715.299805,12723.089844,12625.690430,12696.690430,12696.690430,3285750000
2018-05-25,12646.580078,12652.290039,12606.860352,12634.940430,12634.940430,3015260000
2018-05-29,12516.549805,12543.690430,12391.150391,12442.690430,12442.690430,3743310000
2018-05-30,12514.330078,12647.919922,12514.330078,12625.870117,12625.870117,3566490000
2018-05-31,12606.240234,12606.240234,12499.690430,12527.139648,12527.139648,4241100000
2018-06-01,12596.679688,12635.110352,12595.910156,12620.830078,12620.830078,3694310000
2018-06-04,12620.830078,12705.049805,12620.830078,12673.910156,12673.910156,3410090000
2018-06-05,12673.910156,12677.950195,12623.419922,12658.700195,12658.700195,3523550000
2018-06-06,12696.530273,12778.519531,12681.610352,12778.230469,12778.230469,3662780000
2018-06-07,12797.929688,12826.889648,12750.459961,12788.500000,12788.500000,3742080000
2018-06-08,12778.219727,12833.570313,12759.450195,12832.070313,12832.070313,3138850000
2018-06-11,12845.080078,12888.980469,12842.799805,12856.959961,12856.959961,3262130000
2018-06-12,12861.660156,12877.230469,12822.929688,12844.709961,12844.709961,3435700000
2018-06-13,12856.150391,12859.009766,12784.309570,12785.450195,12785.450195,3820770000
2018-06-14,12812.129883,12823.809570,12761.509766,12771.950195,12771.950195,3540930000
2018-06-15,12727.389648,12746.570313,12659.969727,12734.639648,12734.639648,5451990000
2018-06-18,12660.669922,12711.679688,12639.250000,12708.629883,12708.629883,3316120000
2018-06-19,12708.629883,12708.629883,12569.950195,12638.980469,12638.980469,3671160000
2018-06-20,12676.370117,12684.660156,12634.450195,12648.740234,12648.740234,3332140000
2018-06-21,12620.400391,12622.540039,12539.830078,12560.230469,12560.230469,3336580000
2018-06-22,12653.339844,12677.700195,12634.730469,12639.570313,12639.570313,5468110000
2018-06-25,12584.950195,12584.950195,12424.030273,12481.599609,12481.599609,3663280000
2018-06-26,12501.339844,12544.780273,12466.120117,12510.549805,12510.549805,3568900000
2018-06-27,12528.440430,12594.459961,12412.009766,12412.070313,12412.070313,3803990000
2018-06-28,12412.190430,12503.700195,12377.040039,12475.980469,12475.980469,3461100000
2018-06-29,12537.190430,12607.389648,12504.250000,12504.250000,12504.250000,3586800000
2018-07-02,12430.700195,12486.540039,12400.540039,12485.580078,12485.580078,3095040000
2018-07-03,12542.330078,12576.820313,12484.599609,12494.700195,12494.700195,1911460000
2018-07-05,12553.780273,12587.919922,12512.500000,12585.209961,12585.209961,2980160000
2018-07-06,12578.860352,12684.349609,12561.959961,12664.879883,12664.879883,2590250000
2018-07-09,12712.330078,12779.769531,12712.330078,12776.919922,12776.919922,3070060000
2018-07-10,12795.459961,12820.080078,12782.769531,12814.639648,12814.639648,3080140000
2018-07-11,12737.969727,12756.040039,12665.599609,12681.589844,12681.589844,2986180000
2018-07-12,12746.719727,12771.980469,12709.280273,12761.459961,12761.459961,2834230000
2018-07-13,12744.799805,12783.240234,12727.759766,12769.500000,12769.500000,2619790000
2018-07-16,12758.519531,12766.179688,12717.070313,12748.780273,12748.780273,2819860000
2018-07-17,12731.480469,12797.580078,12725.990234,12779.219727,12779.219727,3064920000
2018-07-18,12786.259766,12825.690430,12770.320313,12823.230469,12823.230469,3111560000
2018-07-19,12786.370117,12815.000000,12751.799805,12786.480469,12786.480469,3278360000
2018-07-20,12778.219727,12807.980469,12770.190430,12789.910156,12789.910156,3243250000
2018-07-23,12788.500000,12803.169922,12765.580078,12794.049805,12794.049805,2928490000
2018-07-24,12836.629883,12883.049805,12814.040039,12847.490234,12847.490234,3430410000
2018-07-25,12836.360352,12940.269531,12820.570313,12933.629883,12933.629883,3584400000
2018-07-26,12929.790039,12985.570313,12929.790039,12953.389648,12953.389648,3667290000
2018-07-27,12967.379883,12978.820313,12886.589844,12921.339844,12921.339844,3434370000
2018-07-30,12936.780273,12961.900391,12895.620117,12903.429688,12903.429688,3261190000
2018-07-31,12903.429688,12989.459961,12903.429688,12963.280273,12963.280273,3906890000
2018-08-01,12949.849609,12961.690430,12879.469727,12902.389648,12902.389648,3501350000
2018-08-02,12818.589844,12904.750000,12803.900391,12898.070313,12898.070313,3501380000
2018-08-03,12893.919922,12955.769531,12893.299805,12953.339844,12953.339844,3043690000
2018-08-06,12939.769531,12985.480469,12918.809570,12964.269531,12964.269531,2879020000
2018-08-07,13011.299805,13039.559570,12997.280273,12999.589844,12999.589844,3185440000
2018-08-08,12995.919922,13007.650391,12966.820313,12987.910156,12987.910156,2978070000
2018-08-09,12983.250000,13001.669922,12949.910156,12956.660156,12956.660156,3066180000
2018-08-10,12868.099609,12878.030273,12818.009766,12843.490234,12843.490234,3265590000
2018-08-13,12836.650391,12853.169922,12746.009766,12763.660156,12763.660156,3173630000
2018-08-14,12791.950195,12849.490234,12791.950195,12835.309570,12835.309570,2986500000
2018-08-15,12752.500000,12752.500000,12648.320313,12723.089844,12723.089844,3656680000
2018-08-16,12784.759766,12875.410156,12784.759766,12841.280273,12841.280273,3232000000
2018-08-17,12839.719727,12928.179688,12834.110352,12908.259766,12908.259766,3037640000
2018-08-20,12930.150391,12973.559570,12929.429688,12965.099609,12965.099609,2757150000
2018-08-21,12998.040039,13032.250000,12993.950195,12996.759766,12996.759766,3174010000
2018-08-22,13007.570313,13013.059570,12983.019531,12990.509766,12990.509766,2701250000
2018-08-23,12978.589844,12988.209961,12922.839844,12933.459961,12933.459961,2724450000
2018-08-24,12968.820313,13011.690430,12964.299805,12999.440430,12999.440430,2603010000
2018-08-27,13043.429688,13110.700195,13043.429688,13102.030273,13102.030273,2865070000
2018-08-28,13125.339844,13130.490234,13075.139648,13084.799805,13084.799805,2687770000
2018-08-29,13098.849609,13148.419922,13074.820313,13132.160156,13132.160156,2805520000
2018-08-30,13094.780273,13094.780273,13019.440430,13039.929688,13039.929688,2810450000
2018-08-31,13007.370117,13037.089844,12965.480469,13016.889648,13016.889648,2887220000
2018-09-04,12976.049805,12984.200195,12928.290039,12969.860352,12969.860352,3087420000
2018-09-05,12944.049805,12977.099609,12908.009766,12968.549805,12968.549805,3248780000
2018-09-06,12960.209961,12993.160156,12900.820313,12938.910156,12938.910156,3144240000
2018-09-07,12898.389648,12939.919922,12875.629883,12911.120117,12911.120117,2976580000
2018-09-10,12952.089844,12994.839844,12928.120117,12928.669922,12928.669922,2751100000
2018-09-11,12896.769531,12968.900391,12873.379883,12952.299805,12952.299805,2904500000
